author,title,rating
Suzanne Collins,The Hunger Games (The Hunger Games #1),4.32
Suzanne Collins,Catching Fire (The Hunger Games #2),4.31
Suzanne Collins,Mockingjay (The Hunger Games #3),4.07
J.K. Rowling,Harry Potter and the Philosopher's Stone (Harry Potter #1),4.47
J.K. Rowling,Harry Potter and the Chamber of Secrets (Harry Potter #2),4.43
J.K. Rowling,Harry Potter and the Prisoner of Azkaban (Harry Potter #3),4.58
J.K. Rowling,Harry Potter and the Goblet of Fire (Harry Potter #4),4.57
J.K. Rowling,Harry Potter and the Order of the Phoenix (Harry Potter #5),4.50
J.K. Rowling,Harry Potter and the Half-Blood Prince (Harry Potter #6),4.58
J.K. Rowling,Harry Potter and the Deathly Hallows (Harry Potter #7),4.62
Jane Austen,Pride and Prejudice,4.28
Jane Austen,Sense and Sensibility,4.08
Jane Austen,Persuasion,4.15
Harper Lee,To Kill a Mockingbird,4.27
Markus Zusak,The Book Thief,4.39
Stephenie Meyer,Twilight (The Twilight Saga #1),3.64
Stephenie Meyer,New Moon (The Twilight Saga #2),3.58
Stephenie Meyer,Eclipse (The Twilight Saga #3),3.72
Stephenie Meyer,Breaking Dawn (The Twilight Saga #4),3.72
George Orwell,Animal Farm,3.98
George Orwell,1984,4.19
George Orwell,Shooting an Elephant,4.10
George Orwell,Down and Out in Paris and London,4.09
John Green,The Fault in Our Stars,4.15
Margaret Mitchell,Gone with the Wind,4.30
Shel Silverstein,The Giving Tree,4.37
Emily Bronte,Wuthering Heights,3.88
Charlotte Bronte,Jane Eyre,4.14
Oscar Wilde,The Picture of Dorian Gray,4.11
Stephen Chbosky,The Perks of Being a Wallflower,4.22
Dan Brown,Angels and Demons (Robert Langdon #1),3.93
Dan Brown,The Da Vinci Code (Robert Langdon #2),3.90
Dan Brown,The Lost Symbol (Robert Langdon #3),3.74
Dan Brown,Inferno (Robert Langdon #4),3.88
Dan Brown,Origin (Robert Langdon #5),3.88
F. Scott Fitzgerald,The Great Gatsby,3.93
Arthur Golden,Memoirs of a Geisha,4.14
Lewis Carroll,Alice's Adventures in Wonderland,4.27
Lewis Carroll,Through the Looking-Glass and What Alice Found There,4.03
Veronica Roth,Divergent (Divergent #1),4.16
Veronica Roth,Insurgent (Divergent #2),3.99
Veronica Roth,Allegiant (Divergent #3),3.61
Antoine de Saint-Exupery,The Little Prince,4.32
Victor Hugo,Les Miserables,4.19
Fyodor Dostoevsky,Crime and Punishment,4.25
William Golding,Lord of the Flies,3.69
William Shakespeare,Romeo and Juliet,3.74
Douglas Adams,The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy #1),4.23
Douglas Adams,The Restaurant at the End of the Universe (The Hitchhiker's Guide to the Galaxy #2),4.21
Douglas Adams,Life the Universe and Everything (The Hitchhiker's Guide to the Galaxy #3),4.18
Douglas Adams,So Long and Thanks for All the Fish (The Hitchhiker's Guide to the Galaxy #4),4.09
Douglas Adams,Mostly Harmless (The Hitchhiker's Guide to the Galaxy #5),3.97
Kathryn Stockett,The Help,4.47
Bram Stoker,Dracula,4.01
Paulo Coelho,The Alchemist,3.90
Aldous Huxley,Brave New World,3.99
J.D. Salinger,The Catcher in the Rye,3.81
Audrey Niffenegger,The Time Traveler's Wife,3.99
Gabriel Garcia Marquez,One Hundred Years of Solitude,4.10
Frances Hodgson Burnett,The Secret Garden,4.15
Homer,Odyssey,3.79
Mark Twain,The Adventures of Tom Sawyer,3.92
Mark Twain,The Adventures of Huckleberry Finn,3.83
Alice Sebold,The Lovely Bones,3.84
Yann Martel,Life of Pi,3.93
Luisa May Alcott,Little Women,4.13
Charles Dickens,A Tale of Two Cities,3.86
Charles Dickens,Great Expectations,3.79
Charles Dickens,A Christmas Carol,4.07
Charles Dickens,David Copperfield,4.02
Sara Gruen,Water for Elephants,4.10
Stephen King,The Shining,4.26
Stephen King,It,4.25
Stephen King,The Stand,4.34
Stephen King,Misery,4.20
Joseph Heller,Catch-22,3.99
Leo Tolstoy,Anna Karenina,4.08
Anthony Burgess,A Clockwork Orange,4.00
Agatha Christie,And Then There Were None,4.28
Agatha Christie,Murder on the Orient Express,4.20
Agatha Christie,Murder at the Vicarage,4.06
Miguel de Cervantes Saavedra,Don Quixote,3.89
Ernest Hemingway,The Old Man and the Sea,3.80
J.R.R. Tolkien,The Fellowship of the Ring (The Lord of the Rings #1),4.38
J.R.R. Tolkien,The Two Towers (The Lord of the Rings #2),4.47
J.R.R. Tolkien,The Return of the King (The Lord of the Rings #3),4.55
George R.R. Martin,A Game of Thrones (A Song of Ice and Fire #1),4.44
George R.R. Martin,A Clash of Kings (A Song of Ice and Fire #2),4.41
George R.R. Martin,A Storm of Swords (A Song of Ice and Fire #3),4.54
George R.R. Martin,A Feast for Crows (A Song of Ice and Fire #4),4.15
George R.R. Martin,A Dance with Dragons (A Song of Ice and Fire #5),4.33
George R.R. Martin,The Winds of Winter (A Song of Ice and Fire #6),4.40
George R.R. Martin,A Dream of Spring (A Song of Ice and Fire #7),4.36
C.S. Lewis,The Lion the Witch and the Wardrobe (Chronicles of Narnia #1),4.23
C.S. Lewis,Prince Caspian (Chronicles of Narnia #2),3.98
C.S. Lewis,The Voyage of the Dawn Treader (Chronicles of Narnia #3),4.09
C.S. Lewis,The Silver Chair (Chronicles of Narnia #4),3.96
C.S. Lewis,The Horse and His Boy (Chronicles of Narnia #5),3.91
C.S. Lewis,The Magician's Nephew (Chronicles of Narnia #6),4.05
C.S. Lewis,The Last Battle (Chronicles of Narnia #7),4.01
